# meta_json: {"summary": {"has_transmission_per_m2": true, "n_temperature_points": 201, "temperature_max_k": 400.0, "temperature_min_k": 0.0, "transmission_metadata": {"atom_symbols": ["N", "Ta"], "lattice_vectors_override_angstrom": null, "lattice_vectors_raw": [[1.4699710891, -2.5460646119, 0.0], [1.4699710891, 2.5460646119, 0.0], [0.0, 0.0, 2.89017508]], "source_format": "phonopy_force_constants", "thickness_angstrom": null, "thickness_direction": null, "transport_direction": 3, "transverse_area_m2": 7.485282740947223e-20}, "transmission_path": "C:\\Users\\zhbho\\OneDrive\\Desktop\\workspace\\15. NEGFPy\\negfpy\\studies\\TaN\\TaN\\runs\\20260225_115137Z_tan_transmission_z\\transmission.tsv"}}
# temperature_K	conductance_W_per_K	conductance_per_area_W_per_m2K
146.00000000	4.908696762915e-11	6.557797390956e+08
148.00000000	4.952700946768e-11	6.616584995080e+08
150.00000000	4.995964220076e-11	6.674382776146e+08
152.00000000	5.038506208706e-11	6.731216953428e+08
154.00000000	5.080345479083e-11	6.787112330829e+08
156.00000000	5.121499612429e-11	6.842092396072e+08
158.00000000	5.161985275013e-11	6.896179414540e+08
160.00000000	5.201818284360e-11	6.949394517729e+08
162.00000000	5.241013671446e-11	7.001757786350e+08
164.00000000	5.279585738958e-11	7.053288328143e+08
166.00000000	5.317548115683e-11	7.104004350556e+08
168.00000000	5.354913807184e-11	7.153923228431e+08
170.00000000	5.391695242877e-11	7.203061566910e+08
172.00000000	5.427904319688e-11	7.251435259747e+08
174.00000000	5.463552442440e-11	7.299059543271e+08
176.00000000	5.498650561146e-11	7.345949046209e+08
178.00000000	5.533209205397e-11	7.392117835614e+08
180.00000000	5.567238515988e-11	7.437579459134e+08
182.00000000	5.600748273988e-11	7.482346983835e+08
184.00000000	5.633747927400e-11	7.526433031823e+08
186.00000000	5.666246615583e-11	7.569849812869e+08
188.00000000	5.698253191595e-11	7.612609154259e+08
190.00000000	5.729776242602e-11	7.654722528058e+08
192.00000000	5.760824108504e-11	7.696201075999e+08
194.00000000	5.791404898912e-11	7.737055632155e+08
196.00000000	5.821526508605e-11	7.777296743594e+08
198.00000000	5.851196631586e-11	7.816934689157e+08
200.00000000	5.880422773860e-11	7.855979496529e+08
202.00000000	5.909212265032e-11	7.894440957730e+08
204.00000000	5.937572268831e-11	7.932328643179e+08
206.00000000	5.965509792647e-11	7.969651914434e+08
208.00000000	5.993031696178e-11	8.006419935741e+08
210.00000000	6.020144699252e-11	8.042641684488e+08
212.00000000	6.046855388915e-11	8.078325960670e+08
214.00000000	6.073170225837e-11	8.113481395451e+08
216.00000000	6.099095550112e-11	8.148116458911e+08
218.00000000	6.124637586505e-11	8.182239467055e+08
220.00000000	6.149802449198e-11	8.215858588154e+08
222.00000000	6.174596146082e-11	8.248981848481e+08
224.00000000	6.199024582650e-11	8.281617137505e+08
226.00000000	6.223093565517e-11	8.313772212604e+08
228.00000000	6.246808805617e-11	8.345454703327e+08
230.00000000	6.270175921102e-11	8.376672115272e+08
232.00000000	6.293200439983e-11	8.407431833612e+08
234.00000000	6.315887802528e-11	8.437741126300e+08
236.00000000	6.338243363457e-11	8.467607147001e+08
238.00000000	6.360272393947e-11	8.497036937768e+08
240.00000000	6.381980083470e-11	8.526037431503e+08
242.00000000	6.403371541490e-11	8.554615454217e+08
244.00000000	6.424451799017e-11	8.582777727116e+08
246.00000000	6.445225810061e-11	8.610530868531e+08
248.00000000	6.465698452976e-11	8.637881395723e+08
250.00000000	6.485874531713e-11	8.664835726556e+08
252.00000000	6.505758777006e-11	8.691400181074e+08
254.00000000	6.525355847474e-11	8.717580982984e+08
256.00000000	6.544670330680e-11	8.743384261063e+08
258.00000000	6.563706744126e-11	8.768816050488e+08
260.00000000	6.582469536207e-11	8.793882294116e+08
262.00000000	6.600963087133e-11	8.818588843710e+08
