# Temperature_K	Gx_W_per_K	Gy_W_per_K	Gx_per_area_W_per_m2K	Gy_per_area_W_per_m2K
86.00000000	1.067063592565e-10	9.083544532326e-11	1.378019525581e+09	1.041721966087e+09
88.00000000	1.112146096759e-10	9.478467670421e-11	1.436239646175e+09	1.087012668016e+09
90.00000000	1.157423766816e-10	9.876369665367e-11	1.494711806452e+09	1.132644992161e+09
92.00000000	1.202860095163e-10	1.027685866765e-10	1.553388860069e+09	1.178574000310e+09
94.00000000	1.248422113499e-10	1.067956059056e-10	1.612228231339e+09	1.224756791333e+09
96.00000000	1.294080159566e-10	1.108411860894e-10	1.671191614045e+09	1.271152443691e+09
98.00000000	1.339807639800e-10	1.149019261553e-10	1.730244664919e+09	1.317721953096e+09
100.00000000	1.385580792966e-10	1.189745865693e-10	1.789356698401e+09	1.364428167819e+09
102.00000000	1.431378458730e-10	1.230560836534e-10	1.848500387763e+09	1.411235723524e+09
104.00000000	1.477181854114e-10	1.271434839724e-10	1.907651476430e+09	1.458110978898e+09
106.00000000	1.522974359972e-10	1.312339988686e-10	1.966788502224e+09	1.505021952965e+09
108.00000000	1.568741318895e-10	1.353249791874e-10	2.025892536380e+09	1.551938264608e+09
110.00000000	1.614469845463e-10	1.394139102218e-10	2.084946938504e+09	1.598831074580e+09
112.00000000	1.660148649261e-10	1.434984068808e-10	2.143937128010e+09	1.645673030107e+09
114.00000000	1.705767870775e-10	1.475762090817e-10	2.202850372192e+09	1.692438212035e+09
116.00000000	1.751318929984e-10	1.516451773531e-10	2.261675590707e+09	1.739102084409e+09
118.00000000	1.796794387317e-10	1.557032886341e-10	2.320403175994e+09	1.785641446299e+09
120.00000000	1.842187816428e-10	1.597486322526e-10	2.379024828990e+09	1.832034385671e+09
122.00000000	1.887493688235e-10	1.637794060612e-10	2.437533409368e+09	1.878260235082e+09
124.00000000	1.932707265524e-10	1.677939127151e-10	2.495922799428e+09	1.924299528988e+09
126.00000000	1.977824507452e-10	1.717905560722e-10	2.554187780774e+09	1.970133962463e+09
128.00000000	2.022841983229e-10	1.757678377013e-10	2.612323922842e+09	2.015746351146e+09
130.00000000	2.067756794295e-10	1.797243534823e-10	2.670327482395e+09	2.061120592265e+09
132.00000000	2.112566504305e-10	1.836587902895e-10	2.728195313103e+09	2.106241626589e+09
134.00000000	2.157269076271e-10	1.875699227456e-10	2.785924784375e+09	2.151095401207e+09
136.00000000	2.201862816251e-10	1.914566100399e-10	2.843513708633e+09	2.195668833036e+09
138.00000000	2.246346322997e-10	1.953177928044e-10	2.900960276289e+09	2.239949772998e+09
140.00000000	2.290718443025e-10	1.991524900435e-10	2.958262997716e+09	2.283926970809e+09
142.00000000	2.334978230598e-10	2.029597961147e-10	3.015420651579e+09	2.327590040351e+09
144.00000000	2.379124912165e-10	2.067388777584e-10	3.072432238903e+09	2.370929425609e+09
146.00000000	2.423157854830e-10	2.104889711757e-10	3.129296942360e+09	2.413936367159e+09
148.00000000	2.467076538456e-10	2.142093791557e-10	3.186014090239e+09	2.456602869225e+09
150.00000000	2.510880531059e-10	2.178994682521e-10	3.242583124667e+09	2.498921667298e+09
152.00000000	2.554569467154e-10	2.215586660111e-10	3.299003573654e+09	2.540886196346e+09
154.00000000	2.598143028777e-10	2.251864582522e-10	3.355275026578e+09	2.582490559626e+09
156.00000000	2.641600928909e-10	2.287823864037e-10	3.411397112778e+09	2.623729498132e+09
158.00000000	2.684942897056e-10	2.323460448955e-10	3.467369482935e+09	2.664598360692e+09
160.00000000	2.728168666784e-10	2.358770786106e-10	3.523191792972e+09	2.705093074743e+09
162.00000000	2.771277964992e-10	2.393751803985e-10	3.578863690203e+09	2.745210117811e+09
164.00000000	2.814270502766e-10	2.428400886512e-10	3.634384801522e+09	2.784946489713e+09
166.00000000	2.857145967642e-10	2.462715849440e-10	3.689754723407e+09	2.824299685506e+09
168.00000000	2.899904017130e-10	2.496694917437e-10	3.744973013564e+09	2.863267669197e+09
170.00000000	2.942544273386e-10	2.530336701840e-10	3.800039184040e+09	2.901848848236e+09
172.00000000	2.985066318894e-10	2.563640179104e-10	3.854952695649e+09	2.940042048797e+09
174.00000000	3.027469693062e-10	2.596604669945e-10	3.909712953576e+09	2.977846491863e+09
176.00000000	3.069753889633e-10	2.629229819200e-10	3.964319304036e+09	3.015261770122e+09
178.00000000	3.111918354829e-10	2.661515576379e-10	4.018771031872e+09	3.052287825673e+09
180.00000000	3.153962486137e-10	2.693462176949e-10	4.073067358991e+09	3.088924928553e+09
182.00000000	3.195885631675e-10	2.725070124304e-10	4.127207443543e+09	3.125173656069e+09
184.00000000	3.237687090068e-10	2.756340172463e-10	4.181190379767e+09	3.161034872945e+09
186.00000000	3.279366110784e-10	2.787273309453e-10	4.235015198412e+09	3.196509712274e+09
188.00000000	3.320921894854e-10	2.817870741391e-10	4.288680867683e+09	3.231599557259e+09
