# kx	kx_over_pi	mode0	mode1	mode2	mode3	mode4	mode5	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1
9.0433831080e-02	2.8785982478e-02	0.000000000000e+00	0.000000000000e+00	4.077658734665e-04	4.727127698104e-03	4.882101279108e-03	5.115115224142e-03	0.00000000	0.00000000	44.74713238	518.74230448	535.74868926	561.31901410
9.4365736779e-02	3.0037546934e-02	0.000000000000e+00	0.000000000000e+00	4.090392922388e-04	4.727135791910e-03	4.882244848788e-03	5.115110182754e-03	0.00000000	0.00000000	44.88687394	518.74319267	535.76444421	561.31846087
9.8297642478e-02	3.1289111389e-02	0.000000000000e+00	0.000000000000e+00	4.103625272964e-04	4.727144226879e-03	4.882394504864e-03	5.115104926728e-03	0.00000000	0.00000000	45.03208220	518.74411830	535.78086706	561.31788409
1.0222954818e-01	3.2540675845e-02	0.000000000000e+00	0.000000000000e+00	4.117350778910e-04	4.727153002607e-03	4.882550244470e-03	5.115099456050e-03	0.00000000	0.00000000	45.18270222	518.74508132	535.79795751	561.31728375
1.0616145388e-01	3.3792240300e-02	0.000000000000e+00	0.000000000000e+00	4.131564313218e-04	4.727162118670e-03	4.882712064626e-03	5.115093770707e-03	0.00000000	0.00000000	45.33867773	518.74608170	535.81571522	561.31665986
1.1009335958e-01	3.5043804756e-02	0.000000000000e+00	0.000000000000e+00	4.146260637410e-04	4.727171574633e-03	4.882879962231e-03	5.115087870683e-03	0.00000000	0.00000000	45.49995125	518.74711937	535.83413985	561.31601241
1.1402526527e-01	3.6295369212e-02	0.000000000000e+00	0.000000000000e+00	4.161434409552e-04	4.727181370039e-03	4.883053934073e-03	5.115081755964e-03	0.00000000	0.00000000	45.66646415	518.74819429	535.85323105	561.31534139
1.1795717097e-01	3.7546933667e-02	0.000000000000e+00	0.000000000000e+00	4.177080192221e-04	4.727191504419e-03	4.883233976821e-03	5.115075426534e-03	0.00000000	0.00000000	45.83815677	518.74930641	535.87298846	561.31464682
1.2188907667e-01	3.8798498123e-02	0.000000000000e+00	0.000000000000e+00	4.193192460392e-04	4.727201977287e-03	4.883420087029e-03	5.115068882377e-03	0.00000000	0.00000000	46.01496847	518.75045567	535.89341170	561.31392868
1.2582098237e-01	4.0050062578e-02	0.000000000000e+00	0.000000000000e+00	4.209765609233e-04	4.727212788139e-03	4.883612261135e-03	5.115062123476e-03	0.00000000	0.00000000	46.19683776	518.75164203	535.91450037	561.31318698
1.2975288807e-01	4.1301627034e-02	0.000000000000e+00	0.000000000000e+00	4.226793961775e-04	4.727223936457e-03	4.883810495462e-03	5.115055149814e-03	0.00000000	0.00000000	46.38370233	518.75286541	535.93625407	561.31242170
1.3368479377e-01	4.2553191489e-02	0.000000000000e+00	0.000000000000e+00	4.244271776455e-04	4.727235421707e-03	4.884014786216e-03	5.115047961374e-03	0.00000000	0.00000000	46.57549918	518.75412577	535.95867239	561.31163286
1.3761669947e-01	4.3804755945e-02	0.000000000000e+00	0.000000000000e+00	4.262193254506e-04	4.727247243336e-03	4.884225129489e-03	5.115040558138e-03	0.00000000	0.00000000	46.77216467	518.75542305	535.98175490	561.31082045
1.4154860517e-01	4.5056320401e-02	0.000000000000e+00	0.000000000000e+00	4.280552547178e-04	4.727259400779e-03	4.884441521256e-03	5.115032940086e-03	0.00000000	0.00000000	46.97363462	518.75675717	536.00550115	561.30998447
1.4548051087e-01	4.6307884856e-02	0.000000000000e+00	0.000000000000e+00	4.299343762781e-04	4.727271893452e-03	4.884663957378e-03	5.115025107202e-03	0.00000000	0.00000000	47.17984437	518.75812809	536.02991069	561.30912491
1.4941241657e-01	4.7559449312e-02	0.000000000000e+00	0.000000000000e+00	4.318560973538e-04	4.727284720758e-03	4.884892433601e-03	5.115017059464e-03	0.00000000	0.00000000	47.39072888	518.75953572	536.05498306	561.30824177
1.5334432227e-01	4.8811013767e-02	0.000000000000e+00	0.000000000000e+00	4.338198222231e-04	4.727297882081e-03	4.885126945554e-03	5.115008796853e-03	0.00000000	0.00000000	47.60622278	518.76098001	536.08071777	561.30733506
1.5727622796e-01	5.0062578223e-02	0.000000000000e+00	0.000000000000e+00	4.358249528641e-04	4.727311376792e-03	4.885367488754e-03	5.115000319349e-03	0.00000000	0.00000000	47.82626043	518.76246088	536.10711433	561.30640476
1.6120813366e-01	5.1314142678e-02	0.000000000000e+00	0.000000000000e+00	4.378708895762e-04	4.727325204244e-03	4.885614058600e-03	5.114991626932e-03	0.00000000	0.00000000	48.05077604	518.76397827	536.13417225	561.30545087
