# temperature_K	g_x_W_per_K	g_y_W_per_K	g_z_W_per_K	gA_x_W_per_m2K	gA_y_W_per_m2K	gA_z_W_per_m2K
170.00000000	6.582827662135e-11	6.655031014476e-11	5.391695242877e-11	8.945794402245e+08	9.043915814251e+08	7.203061566910e+08
172.00000000	6.634655155855e-11	6.707010936897e-11	5.427904319688e-11	9.016225853135e+08	9.114554409531e+08	7.251435259747e+08
174.00000000	6.685847786327e-11	6.758352479083e-11	5.463552442440e-11	9.085794550757e+08	9.184325472099e+08	7.299059543271e+08
176.00000000	6.736411854304e-11	6.809062058614e-11	5.498650561146e-11	9.154509057573e+08	9.253237723185e+08	7.345949046209e+08
178.00000000	6.786353450360e-11	6.859145877620e-11	5.533209205397e-11	9.222377650428e+08	9.321299591231e+08	7.392117835614e+08
180.00000000	6.835678489640e-11	6.908609957816e-11	5.567238515988e-11	9.289408367762e+08	9.388519259501e+08	7.437579459134e+08
182.00000000	6.884392742613e-11	6.957460171520e-11	5.600748273988e-11	9.355609051407e+08	9.454904708236e+08	7.482346983835e+08
184.00000000	6.932501862171e-11	7.005702269007e-11	5.633747927400e-11	9.420987383414e+08	9.520463751827e+08	7.526433031823e+08
186.00000000	6.980011407374e-11	7.053341902493e-11	5.666246615583e-11	9.485550918319e+08	9.585204071403e+08	7.569849812869e+08
188.00000000	7.026926864146e-11	7.100384647054e-11	5.698253191595e-11	9.549307111266e+08	9.649133243267e+08	7.612609154259e+08
190.00000000	7.073253663184e-11	7.146836018752e-11	5.729776242602e-11	9.612263342354e+08	9.712258763522e+08	7.654722528058e+08
192.00000000	7.118997195358e-11	7.192701490234e-11	5.760824108504e-11	9.674426937555e+08	9.774588069269e+08	7.696201075999e+08
194.00000000	7.164162824828e-11	7.237986504032e-11	5.791404898912e-11	9.735805186541e+08	9.836128556690e+08	7.737055632155e+08
196.00000000	7.208755900101e-11	7.282696483807e-11	5.821526508605e-11	9.796405357718e+08	9.896887596320e+08	7.777296743594e+08
198.00000000	7.252781763255e-11	7.326836843736e-11	5.851196631586e-11	9.856234710753e+08	9.956872545803e+08	7.816934689157e+08
200.00000000	7.296245757502e-11	7.370412996230e-11	5.880422773860e-11	9.915300506849e+08	1.001609076038e+09	7.855979496529e+08
202.00000000	7.339153233268e-11	7.413430358169e-11	5.909212265032e-11	9.973610017021e+08	1.007454960139e+09	7.894440957730e+08
204.00000000	7.381509552977e-11	7.455894355823e-11	5.937572268831e-11	1.003117052858e+09	1.013225644288e+09	7.932328643179e+08
206.00000000	7.423320094653e-11	7.497810428584e-11	5.965509792647e-11	1.008798935005e+09	1.018921867679e+09	7.969651914434e+08
208.00000000	7.464590254506e-11	7.539184031681e-11	5.993031696178e-11	1.014407381465e+09	1.024544371654e+09	8.006419935741e+08
210.00000000	7.505325448612e-11	7.580020637974e-11	6.020144699252e-11	1.019943128261e+09	1.030093899953e+09	8.042641684488e+08
212.00000000	7.545531113803e-11	7.620325738955e-11	6.046855388915e-11	1.025406914237e+09	1.035571198847e+09	8.078325960670e+08
214.00000000	7.585212707875e-11	7.660104845059e-11	6.073170225837e-11	1.030799481084e+09	1.040977017182e+09	8.113481395451e+08
216.00000000	7.624375709199e-11	7.699363485374e-11	6.099095550112e-11	1.036121573291e+09	1.046312106338e+09	8.148116458911e+08
218.00000000	7.663025615827e-11	7.738107206842e-11	6.124637586505e-11	1.041373938021e+09	1.051577220123e+09	8.182239467055e+08
220.00000000	7.701167944168e-11	7.776341573019e-11	6.149802449198e-11	1.046557324932e+09	1.056773114600e+09	8.215858588154e+08
222.00000000	7.738808227302e-11	7.814072162468e-11	6.174596146082e-11	1.051672485945e+09	1.061900547873e+09	8.248981848481e+08
224.00000000	7.775952012987e-11	7.851304566853e-11	6.199024582650e-11	1.056720174980e+09	1.066960279827e+09	8.281617137505e+08
226.00000000	7.812604861427e-11	7.888044388768e-11	6.223093565517e-11	1.061701147644e+09	1.071953071833e+09	8.313772212604e+08
228.00000000	7.848772342837e-11	7.924297239385e-11	6.246808805617e-11	1.066616160908e+09	1.076879686424e+09	8.345454703327e+08
230.00000000	7.884460034863e-11	7.960068735924e-11	6.270175921102e-11	1.071465972751e+09	1.081740886958e+09	8.376672115272e+08
232.00000000	7.919673519878e-11	7.995364499024e-11	6.293200439983e-11	1.076251341794e+09	1.086537437258e+09	8.407431833612e+08
234.00000000	7.954418382204e-11	8.030190150014e-11	6.315887802528e-11	1.080973026925e+09	1.091270101239e+09	8.437741126300e+08
236.00000000	7.988700205284e-11	8.064551308144e-11	6.338243363457e-11	1.085631786910e+09	1.095939642534e+09	8.467607147001e+08
238.00000000	8.022524568826e-11	8.098453587779e-11	6.360272393947e-11	1.090228380009e+09	1.100546824112e+09	8.497036937768e+08
240.00000000	8.055897045948e-11	8.131902595599e-11	6.381980083470e-11	1.094763563586e+09	1.105092407899e+09	8.526037431503e+08
242.00000000	8.088823200347e-11	8.164903927804e-11	6.403371541490e-11	1.099238093724e+09	1.109577154395e+09	8.554615454217e+08
244.00000000	8.121308583497e-11	8.197463167366e-11	6.424451799017e-11	1.103652724847e+09	1.114001822303e+09	8.582777727116e+08
246.00000000	8.153358731902e-11	8.229585881317e-11	6.445225810061e-11	1.108008209343e+09	1.118367168160e+09	8.610530868531e+08
248.00000000	8.184979164411e-11	8.261277618109e-11	6.465698452976e-11	1.112305297200e+09	1.122673945979e+09	8.637881395723e+08
250.00000000	8.216175379610e-11	8.292543905038e-11	6.485874531713e-11	1.116544735655e+09	1.126922906896e+09	8.664835726556e+08
252.00000000	8.246952853288e-11	8.323390245752e-11	6.505758777006e-11	1.120727268844e+09	1.131114798834e+09	8.691400181074e+08
254.00000000	8.277317036008e-11	8.353822117846e-11	6.525355847474e-11	1.124853637476e+09	1.135250366177e+09	8.717580982984e+08
256.00000000	8.307273350751e-11	8.383844970551e-11	6.544670330680e-11	1.128924578514e+09	1.139330349452e+09	8.743384261063e+08
258.00000000	8.336827190683e-11	8.413464222518e-11	6.563706744126e-11	1.132940824866e+09	1.143355485033e+09	8.768816050488e+08
260.00000000	8.365983917005e-11	8.442685259709e-11	6.582469536207e-11	1.136903105097e+09	1.147326504849e+09	8.793882294116e+08
262.00000000	8.394748856922e-11	8.471513433384e-11	6.600963087133e-11	1.140812143154e+09	1.151244136116e+09	8.818588843710e+08
264.00000000	8.423127301708e-11	8.499954058198e-11	6.619191709806e-11	1.144668658097e+09	1.155109101071e+09	8.842941461111e+08
266.00000000	8.451124504881e-11	8.528012410398e-11	6.637159650680e-11	1.148473363860e+09	1.158922116738e+09	8.866945819390e+08
268.00000000	8.478745680490e-11	8.555693726135e-11	6.654871090586e-11	1.152226969010e+09	1.162683894686e+09	8.890607503951e+08
270.00000000	8.505996001499e-11	8.583003199872e-11	6.672330145549e-11	1.155930176532e+09	1.166395140823e+09	8.913932013615e+08
272.00000000	8.532880598284e-11	8.609945982897e-11	6.689540867574e-11	1.159583683623e+09	1.170056555186e+09	8.936924761679e+08
274.00000000	8.559404557223e-11	8.636527181940e-11	6.706507245429e-11	1.163188181501e+09	1.173668831761e+09	8.959591076956e+08
276.00000000	8.585572919399e-11	8.662751857895e-11	6.723233205409e-11	1.166744355229e+09	1.177232658302e+09	8.981936204801e+08
278.00000000	8.611390679397e-11	8.688625024627e-11	6.739722612091e-11	1.170252883551e+09	1.180748716173e+09	9.003965308113e+08
280.00000000	8.636862784192e-11	8.714151647892e-11	6.755979269084e-11	1.173714438739e+09	1.184217680199e+09	9.025683468343e+08
282.00000000	8.661994132140e-11	8.739336644334e-11	6.772006919766e-11	1.177129686461e+09	1.187640218533e+09	9.047095686473e+08
284.00000000	8.686789572054e-11	8.764184880581e-11	6.787809248019e-11	1.180499285651e+09	1.191016992529e+09	9.068206884006e+08
286.00000000	8.711253902373e-11	8.788701172431e-11	6.803389878964e-11	1.183823888398e+09	1.194348656636e+09	9.089021903938e+08
288.00000000	8.735391870409e-11	8.812890284110e-11	6.818752379678e-11	1.187104139840e+09	1.197635858291e+09	9.109545511724e+08
290.00000000	8.759208171682e-11	8.836756927628e-11	6.833900259925e-11	1.190340678081e+09	1.200879237837e+09	9.129782396249e+08
292.00000000	8.782707449331e-11	8.860305762196e-11	6.848836972870e-11	1.193534134103e+09	1.204079428443e+09	9.149737170787e+08
294.00000000	8.805894293600e-11	8.883541393731e-11	6.863565915800e-11	1.196685131704e+09	1.207237056034e+09	9.169414373960e+08
296.00000000	8.828773241397e-11	8.906468374425e-11	6.878090430840e-11	1.199794287429e+09	1.210352739234e+09	9.188818470695e+08
298.00000000	8.851348775925e-11	8.929091202388e-11	6.892413805663e-11	1.202862210528e+09	1.213427089318e+09	9.207953853177e+08
300.00000000	8.873625326369e-11	8.951414321350e-11	6.906539274207e-11	1.205889502909e+09	1.216460710171e+09	9.226824841799e+08
302.00000000	8.895607267661e-11	8.973442120428e-11	6.920470017381e-11	1.208876759107e+09	1.219454198255e+09	9.245435686114e+08
304.00000000	8.917298920287e-11	8.995178933959e-11	6.934209163777e-11	1.211824566259e+09	1.222408142590e+09	9.263790565778e+08
306.00000000	8.938704550169e-11	9.016629041375e-11	6.947759790376e-11	1.214733504087e+09	1.225323124733e+09	9.281893591499e+08
308.00000000	8.959828368582e-11	9.037796667145e-11	6.961124923249e-11	1.217604144884e+09	1.228199718772e+09	9.299748805972e+08
310.00000000	8.980674532138e-11	9.058685980757e-11	6.974307538268e-11	1.220437053519e+09	1.231038491323e+09	9.317360184827e+08
312.00000000	9.001247142808e-11	9.079301096758e-11	6.987310561798e-11	1.223232787432e+09	1.233840001537e+09	9.334731637557e+08
314.00000000	9.021550247993e-11	9.099646074827e-11	7.000136871402e-11	1.225991896648e+09	1.236604801108e+09	9.351867008455e+08
316.00000000	9.041587840636e-11	9.119724919900e-11	7.012789296533e-11	1.228714923792e+09	1.239333434289e+09	9.368770077542e+08
318.00000000	9.061363859376e-11	9.139541582331e-11	7.025270619226e-11	1.231402404110e+09	1.242026437918e+09	9.385444561493e+08
320.00000000	9.080882188738e-11	9.159099958089e-11	7.037583574791e-11	1.234054865491e+09	1.244684341442e+09	9.401894114557e+08
322.00000000	9.100146659358e-11	9.178403888991e-11	7.049730852496e-11	1.236672828505e+09	1.247307666947e+09	9.418122329477e+08
324.00000000	9.119161048245e-11	9.197457162971e-11	7.061715096252e-11	1.239256806430e+09	1.249896929198e+09	9.434132738395e+08
326.00000000	9.137929079065e-11	9.216263514374e-11	7.073538905288e-11	1.241807305299e+09	1.252452635677e+09	9.449928813768e+08
328.00000000	9.156454422464e-11	9.234826624280e-11	7.085204834830e-11	1.244324823936e+09	1.254975286629e+09	9.465513969260e+08
330.00000000	9.174740696410e-11	9.253150120861e-11	7.096715396768e-11	1.246809854010e+09	1.257465375107e+09	9.480891560643e+08
332.00000000	9.192791466563e-11	9.271237579748e-11	7.108073060323e-11	1.249262880078e+09	1.259923387025e+09	9.496064886686e+08
334.00000000	9.210610246668e-11	9.289092524438e-11	7.119280252707e-11	1.251684379645e+09	1.262349801212e+09	9.511037190034e+08
336.00000000	9.228200498967e-11	9.306718426706e-11	7.130339359779e-11	1.254074823215e+09	1.264745089467e+09	9.525811658086e+08
338.00000000	9.245565634635e-11	9.324118707051e-11	7.141252726694e-11	1.256434674352e+09	1.267109716622e+09	9.540391423865e+08
340.00000000	9.262709014223e-11	9.341296735143e-11	7.152022658550e-11	1.258764389742e+09	1.269444140603e+09	9.554779566877e+08
342.00000000	9.279633948133e-11	9.358255830305e-11	7.162651421026e-11	1.261064419256e+09	1.271748812491e+09	9.568979113967e+08
344.00000000	9.296343697097e-11	9.374999261991e-11	7.173141241015e-11	1.263335206012e+09	1.274024176592e+09	9.582993040163e+08
346.00000000	9.312841472667e-11	9.391530250293e-11	7.183494307251e-11	1.265577186448e+09	1.276270670503e+09	9.596824269516e+08
348.00000000	9.329130437730e-11	9.407851966446e-11	7.193712770931e-11	1.267790790388e+09	1.278488725182e+09	9.610475675926e+08
350.00000000	9.345213707020e-11	9.423967533358e-11	7.203798746328e-11	1.269976441111e+09	1.280678765020e+09	9.623950083970e+08
352.00000000	9.361094347647e-11	9.439880026135e-11	7.213754311402e-11	1.272134555425e+09	1.282841207912e+09	9.637250269705e+08
354.00000000	9.376775379635e-11	9.455592472629e-11	7.223581508397e-11	1.274265543738e+09	1.284976465328e+09	9.650378961481e+08
356.00000000	9.392259776463e-11	9.471107853978e-11	7.233282344442e-11	1.276369810135e+09	1.287084942395e+09	9.663338840726e+08
358.00000000	9.407550465616e-11	9.486429105167e-11	7.242858792131e-11	1.278447752449e+09	1.289167037965e+09	9.676132542742e+08
360.00000000	9.422650329141e-11	9.501559115582e-11	7.252312790110e-11	1.280499762338e+09	1.291223144694e+09	9.688762657471e+08
362.00000000	9.437562204207e-11	9.516500729580e-11	7.261646243650e-11	1.282526225362e+09	1.293253649117e+09	9.701231730268e+08
364.00000000	9.452288883670e-11	9.531256747053e-11	7.270861025212e-11	1.284527521058e+09	1.295258931729e+09	9.713542262655e+08
366.00000000	9.466833116638e-11	9.545829923999e-11	7.279958975005e-11	1.286504023020e+09	1.297239367059e+09	9.725696713072e+08
368.00000000	9.481197609042e-11	9.560222973096e-11	7.288941901543e-11	1.288456098971e+09	1.299195323749e+09	9.737697497610e+08
370.00000000	9.495385024209e-11	9.574438564279e-11	7.297811582187e-11	1.290384110849e+09	1.301127164632e+09	9.749546990743e+08
372.00000000	9.509397983430e-11	9.588479325309e-11	7.306569763682e-11	1.292288414874e+09	1.303035246810e+09	9.761247526045e+08
374.00000000	9.523239066533e-11	9.602347842356e-11	7.315218162691e-11	1.294169361636e+09	1.304919921733e+09	9.772801396898e+08
376.00000000	9.536910812459e-11	9.616046660570e-11	7.323758466313e-11	1.296027296166e+09	1.306781535277e+09	9.784210857192e+08
378.00000000	9.550415719831e-11	9.629578284656e-11	7.332192332603e-11	1.297862558016e+09	1.308620427820e+09	9.795478122012e+08
380.00000000	9.563756247520e-11	9.642945179447e-11	7.340521391076e-11	1.299675481338e+09	1.310436934323e+09	9.806605368318e+08
382.00000000	9.576934815223e-11	9.656149770478e-11	7.348747243211e-11	1.301466394958e+09	1.312231384407e+09	9.817594735614e+08
384.00000000	9.589953804018e-11	9.669194444550e-11	7.356871462945e-11	1.303235622455e+09	1.314004102429e+09	9.828448326607e+08
386.00000000	9.602815556938e-11	9.682081550302e-11	7.364895597154e-11	1.304983482238e+09	1.315755407558e+09	9.839168207856e+08
388.00000000	9.615522379522e-11	9.694813398771e-11	7.372821166139e-11	1.306710287620e+09	1.317485613856e+09	9.849756410411e+08
390.00000000	9.628076540382e-11	9.707392263952e-11	7.380649664088e-11	1.308416346896e+09	1.319195030348e+09	9.860214930444e+08
392.00000000	9.640480271749e-11	9.719820383357e-11	7.388382559551e-11	1.310101963417e+09	1.320883961104e+09	9.870545729867e+08
394.00000000	9.652735770028e-11	9.732099958564e-11	7.396021295886e-11	1.311767435666e+09	1.322552705309e+09	9.880750736945e+08
396.00000000	9.664845196340e-11	9.744233155769e-11	7.403567291717e-11	1.313413057330e+09	1.324201557341e+09	9.890831846894e+08
398.00000000	9.676810677067e-11	9.756222106324e-11	7.411021941370e-11	1.315039117376e+09	1.325830806841e+09	9.900790922470e+08
400.00000000	9.688634304385e-11	9.768068907284e-11	7.418386615312e-11	1.316645900122e+09	1.327440738790e+09	9.910629794558e+08
