# x	temp_left_K	temp_right_K	y	y_std	y_minus_std	y_plus_std	c1_J_per_s	c2_J2_per_s
3.0000000000e+01	1.0150000000e+03	9.8500000000e+02	2.2946209214e-08	1.4543609397e-10	2.2800773120e-08	2.3091645308e-08	2.2946209214e-08	2.1151657430e-26
3.1000000000e+01	1.0155000000e+03	9.8450000000e+02	2.3711046041e-08	1.4544325487e-10	2.3565602786e-08	2.3856489296e-08	2.3711046041e-08	2.1153740387e-26
3.2000000000e+01	1.0160000000e+03	9.8400000000e+02	2.4475879247e-08	1.4545065015e-10	2.4330428597e-08	2.4621329897e-08	2.4475879247e-08	2.1155891628e-26
3.3000000000e+01	1.0165000000e+03	9.8350000000e+02	2.5240708714e-08	1.4545827977e-10	2.5095250434e-08	2.5386166993e-08	2.5240708714e-08	2.1158111153e-26
3.4000000000e+01	1.0170000000e+03	9.8300000000e+02	2.6005534325e-08	1.4546614369e-10	2.5860068181e-08	2.6151000469e-08	2.6005534325e-08	2.1160398961e-26
3.5000000000e+01	1.0175000000e+03	9.8250000000e+02	2.6770355964e-08	1.4547424188e-10	2.6624881722e-08	2.6915830206e-08	2.6770355964e-08	2.1162755051e-26
3.6000000000e+01	1.0180000000e+03	9.8200000000e+02	2.7535173514e-08	1.4548257429e-10	2.7389690939e-08	2.7680656088e-08	2.7535173514e-08	2.1165179422e-26
3.7000000000e+01	1.0185000000e+03	9.8150000000e+02	2.8299986857e-08	1.4549114088e-10	2.8154495716e-08	2.8445477998e-08	2.8299986857e-08	2.1167672073e-26
3.8000000000e+01	1.0190000000e+03	9.8100000000e+02	2.9064795876e-08	1.4549994159e-10	2.8919295935e-08	2.9210295818e-08	2.9064795876e-08	2.1170233003e-26
3.9000000000e+01	1.0195000000e+03	9.8050000000e+02	2.9829600456e-08	1.4550897639e-10	2.9684091479e-08	2.9975109432e-08	2.9829600456e-08	2.1172862210e-26
4.0000000000e+01	1.0200000000e+03	9.8000000000e+02	3.0594400477e-08	1.4551824523e-10	3.0448882232e-08	3.0739918723e-08	3.0594400477e-08	2.1175559695e-26
4.1000000000e+01	1.0205000000e+03	9.7950000000e+02	3.1359195825e-08	1.4552774806e-10	3.1213668077e-08	3.1504723573e-08	3.1359195825e-08	2.1178325455e-26
4.2000000000e+01	1.0210000000e+03	9.7900000000e+02	3.2123986380e-08	1.4553748483e-10	3.1978448895e-08	3.2269523865e-08	3.2123986380e-08	2.1181159490e-26
4.3000000000e+01	1.0215000000e+03	9.7850000000e+02	3.2888772027e-08	1.4554745548e-10	3.2743224572e-08	3.3034319483e-08	3.2888772027e-08	2.1184061798e-26
4.4000000000e+01	1.0220000000e+03	9.7800000000e+02	3.3653552649e-08	1.4555765998e-10	3.3507994989e-08	3.3799110309e-08	3.3653552649e-08	2.1187032378e-26
4.5000000000e+01	1.0225000000e+03	9.7750000000e+02	3.4418328128e-08	1.4556809825e-10	3.4272760030e-08	3.4563896226e-08	3.4418328128e-08	2.1190071229e-26
4.6000000000e+01	1.0230000000e+03	9.7700000000e+02	3.5183098347e-08	1.4557877026e-10	3.5037519577e-08	3.5328677117e-08	3.5183098347e-08	2.1193178351e-26
4.7000000000e+01	1.0235000000e+03	9.7650000000e+02	3.5947863189e-08	1.4558967594e-10	3.5802273513e-08	3.6093452865e-08	3.5947863189e-08	2.1196353740e-26
4.8000000000e+01	1.0240000000e+03	9.7600000000e+02	3.6712622537e-08	1.4560081523e-10	3.6567021722e-08	3.6858223352e-08	3.6712622537e-08	2.1199597397e-26
4.9000000000e+01	1.0245000000e+03	9.7550000000e+02	3.7477376274e-08	1.4561218809e-10	3.7331764086e-08	3.7622988462e-08	3.7477376274e-08	2.1202909320e-26
5.0000000000e+01	1.0250000000e+03	9.7500000000e+02	3.8242124282e-08	1.4562379444e-10	3.8096500488e-08	3.8387748076e-08	3.8242124282e-08	2.1206289507e-26
5.1000000000e+01	1.0255000000e+03	9.7450000000e+02	3.9006866445e-08	1.4563563423e-10	3.8861230811e-08	3.9152502079e-08	3.9006866445e-08	2.1209737958e-26
5.2000000000e+01	1.0260000000e+03	9.7400000000e+02	3.9771602645e-08	1.4564770740e-10	3.9625954938e-08	3.9917250352e-08	3.9771602645e-08	2.1213254670e-26
5.3000000000e+01	1.0265000000e+03	9.7350000000e+02	4.0536332765e-08	1.4566001388e-10	4.0390672751e-08	4.0681992779e-08	4.0536332765e-08	2.1216839642e-26
5.4000000000e+01	1.0270000000e+03	9.7300000000e+02	4.1301056688e-08	1.4567255360e-10	4.1155384135e-08	4.1446729242e-08	4.1301056688e-08	2.1220492873e-26
5.5000000000e+01	1.0275000000e+03	9.7250000000e+02	4.2065774297e-08	1.4568532652e-10	4.1920088970e-08	4.2211459623e-08	4.2065774297e-08	2.1224214362e-26
5.6000000000e+01	1.0280000000e+03	9.7200000000e+02	4.2830485474e-08	1.4569833255e-10	4.2684787141e-08	4.2976183807e-08	4.2830485474e-08	2.1228004107e-26
5.7000000000e+01	1.0285000000e+03	9.7150000000e+02	4.3595190102e-08	1.4571157162e-10	4.3449478530e-08	4.3740901674e-08	4.3595190102e-08	2.1231862105e-26
5.8000000000e+01	1.0290000000e+03	9.7100000000e+02	4.4359888064e-08	1.4572504368e-10	4.4214163020e-08	4.4505613108e-08	4.4359888064e-08	2.1235788357e-26
5.9000000000e+01	1.0295000000e+03	9.7050000000e+02	4.5124579242e-08	1.4573874865e-10	4.4978840494e-08	4.5270317991e-08	4.5124579242e-08	2.1239782859e-26
6.0000000000e+01	1.0300000000e+03	9.7000000000e+02	4.5889263520e-08	1.4575268646e-10	4.5743510833e-08	4.6035016206e-08	4.5889263520e-08	2.1243845612e-26
6.1000000000e+01	1.0305000000e+03	9.6950000000e+02	4.6653940779e-08	1.4576685704e-10	4.6508173922e-08	4.6799707636e-08	4.6653940779e-08	2.1247976611e-26
6.2000000000e+01	1.0310000000e+03	9.6900000000e+02	4.7418610903e-08	1.4578126031e-10	4.7272829642e-08	4.7564392163e-08	4.7418610903e-08	2.1252175857e-26
6.3000000000e+01	1.0315000000e+03	9.6850000000e+02	4.8183273773e-08	1.4579589620e-10	4.8037477877e-08	4.8329069669e-08	4.8183273773e-08	2.1256443348e-26
6.4000000000e+01	1.0320000000e+03	9.6800000000e+02	4.8947929274e-08	1.4581076463e-10	4.8802118509e-08	4.9093740038e-08	4.8947929274e-08	2.1260779081e-26
6.5000000000e+01	1.0325000000e+03	9.6750000000e+02	4.9712577286e-08	1.4582586552e-10	4.9566751421e-08	4.9858403152e-08	4.9712577286e-08	2.1265183055e-26
6.6000000000e+01	1.0330000000e+03	9.6700000000e+02	5.0477217693e-08	1.4584119880e-10	5.0331376494e-08	5.0623058892e-08	5.0477217693e-08	2.1269655268e-26
6.7000000000e+01	1.0335000000e+03	9.6650000000e+02	5.1241850378e-08	1.4585676439e-10	5.1095993613e-08	5.1387707142e-08	5.1241850378e-08	2.1274195718e-26
