# temperature_K	conductance_x_W_per_K	conductance_y_W_per_K
110.00000000	9.950277033500e-11	5.814396474940e-11
112.00000000	1.000108116343e-10	5.843157851985e-11
114.00000000	1.004988115859e-10	5.870779452732e-11
116.00000000	1.009677059904e-10	5.897314917138e-11
118.00000000	1.014183850392e-10	5.922815228508e-11
120.00000000	1.018516951027e-10	5.947328823199e-11
122.00000000	1.022684405533e-10	5.970901701244e-11
124.00000000	1.026693855963e-10	5.993577536631e-11
126.00000000	1.030552560908e-10	6.015397786214e-11
128.00000000	1.034267413441e-10	6.036401796459e-11
130.00000000	1.037844958679e-10	6.056626907440e-11
132.00000000	1.041291410873e-10	6.076108553639e-11
134.00000000	1.044612669955e-10	6.094880361222e-11
136.00000000	1.047814337503e-10	6.112974241590e-11
138.00000000	1.050901732082e-10	6.130420481071e-11
140.00000000	1.053879903954e-10	6.147247826681e-11
142.00000000	1.056753649138e-10	6.163483567966e-11
144.00000000	1.059527522826e-10	6.179153614930e-11
146.00000000	1.062205852164e-10	6.194282572139e-11
148.00000000	1.064792748402e-10	6.208893809083e-11
150.00000000	1.067292118436e-10	6.223009526896e-11
152.00000000	1.069707675750e-10	6.236650821576e-11
154.00000000	1.072042950801e-10	6.249837743823e-11
156.00000000	1.074301300830e-10	6.262589355640e-11
158.00000000	1.076485919171e-10	6.274923783841e-11
160.00000000	1.078599844031e-10	6.286858270597e-11
162.00000000	1.080645966807e-10	6.298409221187e-11
164.00000000	1.082627039934e-10	6.309592249060e-11
166.00000000	1.084545684299e-10	6.320422218382e-11
168.00000000	1.086404396247e-10	6.330913284171e-11
170.00000000	1.088205554189e-10	6.341078930164e-11
172.00000000	1.089951424839e-10	6.350932004547e-11
174.00000000	1.091644169110e-10	6.360484753647e-11
176.00000000	1.093285847665e-10	6.369748853715e-11
178.00000000	1.094878426166e-10	6.378735440906e-11
180.00000000	1.096423780222e-10	6.387455139562e-11
182.00000000	1.097923700062e-10	6.395918088879e-11
184.00000000	1.099379894942e-10	6.404133968085e-11
186.00000000	1.100793997310e-10	6.412112020173e-11
188.00000000	1.102167566733e-10	6.419861074319e-11
190.00000000	1.103502093605e-10	6.427389567019e-11
192.00000000	1.104799002652e-10	6.434705562058e-11
194.00000000	1.106059656240e-10	6.441816769353e-11
196.00000000	1.107285357498e-10	6.448730562750e-11
198.00000000	1.108477353271e-10	6.455453996830e-11
200.00000000	1.109636836911e-10	6.461993822792e-11
202.00000000	1.110764950913e-10	6.468356503452e-11
204.00000000	1.111862789408e-10	6.474548227428e-11
206.00000000	1.112931400518e-10	6.480574922543e-11
208.00000000	1.113971788591e-10	6.486442268505e-11
210.00000000	1.114984916304e-10	6.492155708894e-11
212.00000000	1.115971706666e-10	6.497720462505e-11
214.00000000	1.116933044901e-10	6.503141534086e-11
216.00000000	1.117869780240e-10	6.508423724501e-11
218.00000000	1.118782727614e-10	6.513571640343e-11
220.00000000	1.119672669263e-10	6.518589703058e-11
222.00000000	1.120540356249e-10	6.523482157569e-11
224.00000000	1.121386509904e-10	6.528253080463e-11
226.00000000	1.122211823195e-10	6.532906387742e-11
