# temperature_K	TaN_x_W_per_m2K	TaN_y_W_per_m2K	TaN_z_W_per_m2K	Borophene_x_W_per_m2K	Borophene_y_W_per_m2K	Borophene_beta12_x_W_per_m2K	Borophene_beta12_y_W_per_m2K	Stanene_x_W_per_m2K	Stanene_y_W_per_m2K	Phosphorene_x_W_per_m2K	Phosphorene_y_W_per_m2K	Graphene_x_W_per_m2K	Silicon_x_W_per_m2K
252.00000000	1.120727268844e+09	1.131114798834e+09	8.691400181074e+08	5.913467004843e+09	4.167337410176e+09	2.192718749722e+09	3.526324154635e+09	3.652322917581e+08	3.681721733084e+08	2.526830690968e+09	1.792394743034e+09	4.015916103747e+09	2.205747762174e+08
254.00000000	1.124853637476e+09	1.135250366177e+09	8.717580982984e+08	5.961050338585e+09	4.191361694858e+09	2.208279354055e+09	3.550572591544e+09	3.654237800040e+08	3.683591237580e+08	2.532493188257e+09	1.796208781575e+09	4.055862507079e+09	2.213265376263e+08
256.00000000	1.128924578514e+09	1.139330349452e+09	8.743384261063e+08	6.008422175047e+09	4.215110560372e+09	2.223725799373e+09	3.574609192470e+09	3.656110369949e+08	3.685419402580e+08	2.538056412709e+09	1.799954245543e+09	4.095696063243e+09	2.220657625580e+08
258.00000000	1.132940824866e+09	1.143355485033e+09	8.768816050488e+08	6.055581096132e+09	4.238587539105e+09	2.239058263807e+09	3.598435133805e+09	3.657941846834e+08	3.687207420689e+08	2.543522450833e+09	1.803632636509e+09	4.135414556867e+09	2.227926933840e+08
260.00000000	1.136903105097e+09	1.147326504849e+09	8.793882294116e+08	6.102525718957e+09	4.261796135264e+09	2.254276948295e+09	3.622051618287e+09	3.659733407278e+08	3.688956442462e+08	2.548893342046e+09	1.807245419538e+09	4.175015846073e+09	2.235075678637e+08
262.00000000	1.140812143154e+09	1.151244136116e+09	8.818588843710e+08	6.149254697234e+09	4.284739823359e+09	2.269382075937e+09	3.645459873272e+09	3.661486186684e+08	3.690667578138e+08	2.554171079638e+09	1.810794024067e+09	4.214497860557e+09	2.242106191946e+08
264.00000000	1.144668658097e+09	1.155109101071e+09	8.842941461111e+08	6.195766722546e+09	4.307422046846e+09	2.284373891350e+09	3.668661149094e+09	3.663201280967e+08	3.692341899302e+08	2.559357611720e+09	1.814279844784e+09	4.253858599722e+09	2.249020760651e+08
266.00000000	1.148473363860e+09	1.158922116738e+09	8.866945819390e+08	6.242060525520e+09	4.329846216910e+09	2.299252660031e+09	3.691656717499e+09	3.664879748168e+08	3.693980440458e+08	2.564454842173e+09	1.817704242474e+09	4.293096130868e+09	2.255821627096e+08
268.00000000	1.152226969010e+09	1.162683894686e+09	8.890607503951e+08	6.288134876888e+09	4.352015711373e+09	2.314018667727e+09	3.714447870149e+09	3.666522609982e+08	3.695584200537e+08	2.569464631588e+09	1.821068544858e+09	4.332208587429e+09	2.262510989667e+08
270.00000000	1.155930176532e+09	1.166395140823e+09	8.913932013615e+08	6.333988588461e+09	4.373933873738e+09	2.328672219809e+09	3.737035917202e+09	3.668130853229e+08	3.697154144332e+08	2.574388798186e+09	1.824374047412e+09	4.371194167267e+09	2.269091003379e+08
272.00000000	1.159583683623e+09	1.170056555186e+09	8.936924761679e+08	6.379620513995e+09	4.395604012339e+09	2.343213640657e+09	3.759422185956e+09	3.669705431248e+08	3.698691203867e+08	2.579229118744e+09	1.827622014169e+09	4.410051131016e+09	2.275563780494e+08
274.00000000	1.163188181501e+09	1.173668831761e+09	8.959591076956e+08	6.425029549969e+09	4.417029399606e+09	2.357643273046e+09	3.781608019552e+09	3.671247265233e+08	3.700196279707e+08	2.583987329492e+09	1.830813678504e+09	4.448777800472e+09	2.281931391143e+08
276.00000000	1.166744355229e+09	1.177232658302e+09	8.981936204801e+08	6.470214636272e+09	4.438213271426e+09	2.371961477544e+09	3.803594775737e+09	3.672757245501e+08	3.701670242201e+08	2.588665127013e+09	1.833950243899e+09	4.487372557041e+09	2.288195863964e+08
278.00000000	1.170252883551e+09	1.180748716173e+09	9.003965308113e+08	6.515174756796e+09	4.459158826602e+09	2.386168631914e+09	3.825383825689e+09	3.674236232716e+08	3.703113932677e+08	2.593264169120e+09	1.837032884701e+09	4.525833840230e+09	2.294359186749e+08
280.00000000	1.173714438739e+09	1.184217680199e+09	9.025683468343e+08	6.559908939947e+09	4.479869226394e+09	2.400265130522e+09	3.846976552887e+09	3.675685059041e+08	3.704528164576e+08	2.597786075726e+09	1.840062746848e+09	4.564160146186e+09	2.300423307097e+08
282.00000000	1.177129686461e+09	1.187640218533e+09	9.047095686473e+08	6.604416259078e+09	4.500347594150e+09	2.414251383759e+09	3.868374352033e+09	3.677104529254e+08	3.705913724543e+08	2.602232429697e+09	1.843040948594e+09	4.602350026284e+09	2.306390133079e+08
284.00000000	1.180499285651e+09	1.191016992529e+09	9.068206884006e+08	6.648695832838e+09	4.520597015006e+09	2.428127817463e+09	3.889578628024e+09	3.678495421802e+08	3.707271373462e+08	2.606604777697e+09	1.845968581206e+09	4.640402085759e+09	2.312261533899e+08
286.00000000	1.183823888398e+09	1.194348656636e+09	9.089021903938e+08	6.692746825444e+09	4.540620535652e+09	2.441894872355e+09	3.910590794972e+09	3.679858489819e+08	3.708601847449e+08	2.610904631010e+09	1.848846709650e+09	4.678314982377e+09	2.318039340565e+08
288.00000000	1.187104139840e+09	1.197635858291e+09	9.109545511724e+08	6.736568446884e+09	4.560421164179e+09	2.455553003479e+09	3.931412275258e+09	3.681194462092e+08	3.709905858802e+08	2.615133466355e+09	1.851676373262e+09	4.716087425159e+09	2.323725346554e+08
290.00000000	1.190340678081e+09	1.200879237837e+09	9.129782396249e+08	6.780159953050e+09	4.580001869965e+09	2.469102679650e+09	3.952044498638e+09	3.682504043988e+08	3.711184096905e+08	2.619292726686e+09	1.854458586397e+09	4.753718173132e+09	2.329321308490e+08
292.00000000	1.193534134103e+09	1.204079428443e+09	9.149737170787e+08	6.823520645803e+09	4.599365583633e+09	2.482544382916e+09	3.972488901377e+09	3.683787918340e+08	3.712437229102e+08	2.623383821972e+09	1.857194339072e+09	4.791206034133e+09	2.334828946804e+08
