run	tag	dy_cutoff	n_terms_removed	t225_cm1	peak_180_280	w_peak_180_280_cm1	global_max	w_global_max_cm1	max_adjacent_jump	max_eta_over_omega	n_omega_failures
20260223_113846Z_borophene_b_beta12_transmission_dy0	dy0	0	60	0.6039613301976	0.97003582153	211.01664401	1.863560608553	556.31660694	1.8635606058447336	0.00011440902950176733	0
20260223_113953Z_borophene_b_beta12_transmission_dy1	dy1	1	48	0.5128355615743	0.6149163828967	239.4359708	0.8548863899546	768.19040631	0.4268625311582	0.00010999581924136948	0
20260223_114106Z_borophene_b_beta12_transmission_dy2	dy2	2	36	0.595899128106	0.6093090321837	248.15562109	1.032162378983	774.24553781	0.45793825222820006	0.00011055292158815919	0
20260223_114218Z_borophene_b_beta12_transmission_dy3	dy3	3	24	0.5643908151201	0.5643908151201	228.85468366	1.093230621011	776.11588373	0.6432824836733001	0.00011028650234663183	0
20260223_114333Z_borophene_b_beta12_transmission_dy4	dy4	4	12	0.5425803671518	0.5425803671518	228.69910265	1.111042854174	775.58826116	0.5344906458615001	0.00011036152881465585	0
20260223_115019Z_borophene_b_beta12_transmission_dy5	dy5	5	6	0.4959964565055	0.4959964565055	228.72086366	1.127452913392	1113.77116216	0.7477418223474999	0.012261225419355188	0
20260223_114443Z_borophene_b_beta12_transmission_dy6	dy6	6	0	0.4250873339627	4.910872688286	248.62353159	4.910872688286	248.62353159	4.4680990609647	0.27586215135050807	0
20260223_114614Z_borophene_b_beta12_transmission_dynull	dynull	None	0	0.4250873339627	4.910872688286	248.62353159	4.910872688286	248.62353159	4.4680990609647	0.27586215135050807	0
