# idx	kdist	kx	ky	kz	mode0	mode1	mode2	mode3	mode4	mode5	mode6	mode7	mode8	mode9	mode10	mode11	mode12	mode13	mode14	mode0_cm1	mode1_cm1	mode2_cm1	mode3_cm1	mode4_cm1	mode5_cm1	mode6_cm1	mode7_cm1	mode8_cm1	mode9_cm1	mode10_cm1	mode11_cm1	mode12_cm1	mode13_cm1	mode14_cm1
23	6.0213859194e-01	3.1415926536e+00	2.5394540617e+00	0.0000000000e+00	1.521083118902e-03	1.596229677717e-03	3.076746932506e-03	3.714824520676e-03	3.819585074271e-03	3.858075204750e-03	4.885133068151e-03	5.457638088171e-03	5.951381589383e-03	6.892367979169e-03	7.327459662158e-03	8.279835820517e-03	9.340201799464e-03	9.487376108880e-03	9.909457516402e-03	166.91957840	175.16596004	337.63394941	407.65487113	419.15101307	423.37481667	536.08138965	598.90655376	653.08864022	756.34996073	804.09575409	908.60695723	1024.96867340	1041.11918705	1087.43726771
24	6.2831853072e-01	3.1415926536e+00	2.5132741229e+00	0.0000000000e+00	1.506137261969e-03	1.586728120331e-03	3.095420051518e-03	3.719359011655e-03	3.845869814022e-03	3.849299302754e-03	4.885912806471e-03	5.473268528050e-03	5.953608528974e-03	6.881950250441e-03	7.305605563330e-03	8.266096849837e-03	9.360799162797e-03	9.491913506990e-03	9.924096046430e-03	165.27946018	174.12328464	339.68308736	408.15247400	422.03542985	422.41177274	536.16695604	600.62179627	653.33301859	755.20674714	801.69754395	907.09927947	1027.22897276	1041.61710894	1089.04366070
25	6.5449846950e-01	3.1415926536e+00	2.4870941841e+00	0.0000000000e+00	1.491641620760e-03	1.578342576116e-03	3.114536055563e-03	3.724221859264e-03	3.840492714664e-03	3.871492684887e-03	4.886785385071e-03	5.489215565456e-03	5.955498092845e-03	6.870597927903e-03	7.283242097117e-03	8.252905047043e-03	9.381231609373e-03	9.496447778061e-03	9.938771508359e-03	163.68874742	173.20307753	341.78082633	408.68610984	421.44536140	424.84721492	536.26271047	602.37178135	653.54037426	753.96097374	799.24343720	905.65164644	1029.47117460	1042.11468768	1090.65410650
26	6.8067840828e-01	3.1415926536e+00	2.4609142453e+00	0.0000000000e+00	1.477671406788e-03	1.570854001763e-03	3.134060279239e-03	3.729444536704e-03	3.831698272923e-03	3.896430825297e-03	4.887726834345e-03	5.505436545152e-03	5.957016970029e-03	6.858347464439e-03	7.260384290150e-03	8.240187427211e-03	9.401460116230e-03	9.500949840015e-03	9.953420186406e-03	162.15569364	172.38130148	343.92336223	409.25923244	420.48028297	427.58385951	536.36602259	604.15182812	653.70705176	752.61664076	796.73508282	904.25604898	1031.69099664	1042.60873187	1092.26161311
27	7.0685834706e-01	3.1415926536e+00	2.4347343065e+00	0.0000000000e+00	1.464291716053e-03	1.564038957213e-03	3.153951777385e-03	3.735064431392e-03	3.822897266131e-03	3.920722490558e-03	4.888709075230e-03	5.521885406452e-03	5.958130652911e-03	6.845244282065e-03	7.237047098360e-03	8.227875079774e-03	9.421435941978e-03	9.505386689894e-03	9.967981521798e-03	160.68744229	171.63343679	346.10620184	409.87594460	419.51448411	430.24956165	536.47381106	605.95688201	653.82926433	751.17873270	794.17412204	902.90492502	1033.88309014	1043.09561987	1093.85953497
28	7.3303828584e-01	3.1415926536e+00	2.4085543678e+00	0.0000000000e+00	1.451556289214e-03	1.557675933496e-03	3.174162012420e-03	3.741125403322e-03	3.814086138175e-03	3.944389679961e-03	4.889700120438e-03	5.538512493666e-03	5.958802896883e-03	6.831342125465e-03	7.213246351619e-03	8.215905159093e-03	9.441101771660e-03	9.509721606440e-03	9.982398773718e-03	159.28989074	170.93517564	348.32401878	410.54105939	418.54757458	432.84673548	536.58256571	607.78149393	653.90303458	749.65314735	791.56229198	901.59137806	1036.04116550	1043.57132197	1095.44164549
29	7.5921822462e-01	3.1415926536e+00	2.3823744290e+00	0.0000000000e+00	1.439506521599e-03	1.551550938666e-03	3.194633639277e-03	3.747678205717e-03	3.805260122529e-03	3.967454073797e-03	4.890664296664e-03	5.555264405694e-03	5.958995177913e-03	6.816702620935e-03	7.188999731967e-03	8.204222359773e-03	9.460393222418e-03	9.513914515227e-03	9.996619598686e-03	157.96758159	170.26303515	350.57052016	411.26014633	417.57903132	435.37776015	536.68837182	609.61980378	653.92413498	748.04664742	788.90153302	900.30933902	1038.15815752	1044.03144053	1097.00220065
30	7.8539816340e-01	3.1415926536e+00	2.3561944902e+00	0.0000000000e+00	1.428170777789e-03	1.545462254790e-03	3.215299484056e-03	3.754780691982e-03	3.796414162531e-03	3.989935898086e-03	4.891562471921e-03	5.572083876035e-03	5.958666178714e-03	6.801395052468e-03	7.164327767839e-03	8.192779861906e-03	9.479240642811e-03	9.517922505266e-03	1.001059654470e-02	156.72362749	169.59487933	352.83833449	412.03955411	416.60829941	437.84485520	536.78693516	611.46552731	653.88803150	746.36683595	786.19409791	899.05367002	1040.22642284	1044.47126660	1098.53599319
31	8.1157810218e-01	3.1415926536e+00	2.3300145514e+00	0.0000000000e+00	1.417564051027e-03	1.539224331966e-03	3.236081838458e-03	3.762497710452e-03	3.787543533938e-03	4.011853270401e-03	4.892352272364e-03	5.588909670905e-03	5.957771344085e-03	6.785496329213e-03	7.139254829559e-03	8.181539771154e-03	9.497571125620e-03	9.521700481407e-03	1.002428745713e-02	155.55967377	168.91034642	355.11893428	412.88639900	415.63486044	440.25000880	536.87360574	613.31194487	653.78983475	744.62215274	783.44266096	897.82021263	1042.23796082	1044.88585156	1100.03839717
32	8.3775804096e-01	3.1415926536e+00	2.3038346126e+00	0.0000000000e+00	1.407687989313e-03	1.532670829817e-03	3.256892218341e-03	3.770900564831e-03	3.778644373105e-03	4.033221793795e-03	4.892988274212e-03	5.605676490215e-03	5.956262557689e-03	6.769091082801e-03	7.113810114587e-03	8.170473109383e-03	9.515310646918e-03	9.525201932712e-03	1.003765579405e-02	154.47590126	168.19118269	357.40260951	413.80850569	414.65829042	442.59493320	536.94339887	615.15189062	653.62426458	742.82188503	780.65042624	896.60578687	1044.18464827	1045.27009142	1101.50540258
33	8.6393797974e-01	3.1415926536e+00	2.2776546739e+00	0.0000000000e+00	1.398531289254e-03	1.525656850463e-03	3.277631755501e-03	3.769714121336e-03	3.780065899093e-03	4.054054359303e-03	4.893422158649e-03	5.622314854171e-03	5.954088005520e-03	6.752271800945e-03	7.088028614189e-03	8.159559431955e-03	9.528379793368e-03	9.532386243077e-03	1.005067084928e-02	153.47106958	167.42148742	359.67851064	413.67830856	414.81428487	444.88104302	536.99101219	616.97774001	653.38563506	740.97618219	777.82123360	895.40814921	1045.61882132	1046.05847836	1102.93363980
34	8.9011791852e-01	3.1415926536e+00	2.2514747351e+00	0.0000000000e+00	1.390070437423e-03	1.518060429680e-03	3.298192397363e-03	3.760751881695e-03	3.790073860415e-03	4.074361132429e-03	4.893602820813e-03	5.638750957498e-03	5.951192304447e-03	6.735138877092e-03	7.061952055935e-03	8.148786157851e-03	9.531187369634e-03	9.548728141400e-03	1.006330788275e-02	152.54259841	166.58787660	361.93478029	412.69481644	415.91253168	447.10945379	537.01083757	618.78139387	653.06786860	739.09606112	774.95966209	894.22591903	1045.92691720	1047.85179441	1104.32039393
35	9.1629785730e-01	3.1415926536e+00	2.2252947963e+00	0.0000000000e+00	1.382270759095e-03	1.509783365567e-03	3.318459065885e-03	3.751758684817e-03	3.801005415932e-03	4.094149699600e-03	4.893476427931e-03	5.654906473959e-03	5.947516985483e-03	6.717800436505e-03	7.035629818371e-03	8.138147699805e-03	9.533579304004e-03	9.564271768154e-03	1.007554815862e-02	151.68668265	165.67957380	364.15879009	411.70792716	417.11213124	449.28099803	536.99696755	620.55425688	652.66454896	737.19338719	772.07113040	893.05848320	1046.18940166	1049.55751029	1105.66360895
