# omega_cm^-1	T_legacy_eigen_svd
0.00000000	0.000000000000e+00
21.25000000	8.549311551756e-04
42.50000000	4.582975580775e-03
63.75000000	3.154700388122e-02
85.00000000	1.714319310854e-01
106.25000000	1.383210662170e-01
127.50000000	1.353382817391e-01
148.75000000	1.408112429960e-01
170.00000000	1.706702774033e-01
191.25000000	3.018520369060e-01
212.50000000	4.795772041856e-01
233.75000000	5.976617338955e-01
255.00000000	6.323559192291e-01
276.25000000	6.227195572240e-01
297.50000000	6.540892272205e-01
318.75000000	2.713618546634e-01
340.00000000	5.905306865286e-01
361.25000000	7.236740408671e-01
382.50000000	9.601687877272e-01
403.75000000	1.025396784922e+00
425.00000000	1.131851651219e+00
446.25000000	1.235460002638e+00
467.50000000	1.287575282947e+00
488.75000000	7.817303033451e-01
510.00000000	7.019585468797e-01
531.25000000	6.725254629043e-01
552.50000000	8.007959071957e-01
573.75000000	9.560500724286e-01
595.00000000	1.043288074919e+00
616.25000000	1.167684926582e+00
637.50000000	1.542838645429e+00
658.75000000	1.570143235876e+00
680.00000000	1.562973953703e+00
701.25000000	1.396739866752e+00
722.50000000	1.202140047771e+00
743.75000000	1.200484389794e+00
765.00000000	1.098742654401e+00
786.25000000	9.324036017989e-01
807.50000000	7.356707564956e-01
828.75000000	7.988585714808e-01
850.00000000	8.052030730074e-01
871.25000000	6.551132532114e-01
892.50000000	6.798752179503e-01
913.75000000	6.859944951552e-01
935.00000000	7.070106941735e-01
956.25000000	7.371252628888e-01
977.50000000	6.875203279895e-01
998.75000000	5.804180747393e-01
1020.00000000	5.408771817155e-01
1041.25000000	4.617129382612e-01
1062.50000000	3.310429046799e-01
1083.75000000	2.029257012841e-01
1105.00000000	4.422835706989e-01
1126.25000000	6.059093111994e-01
1147.50000000	6.194157268610e-01
1168.75000000	5.803662057145e-01
1190.00000000	4.902172129120e-01
1211.25000000	3.020622638017e-01
1232.50000000	5.166981740996e-01
1253.75000000	6.722427646424e-01
1275.00000000	6.211289556626e-01
1296.25000000	5.157609792450e-01
1317.50000000	2.244096823282e-01
1338.75000000	2.563158124076e-01
1360.00000000	5.390312423488e-01
1381.25000000	9.667186718742e-01
1402.50000000	9.420795583513e-01
1423.75000000	8.522835567472e-01
1445.00000000	7.168153466401e-01
1466.25000000	6.427095921619e-01
1487.50000000	5.506280450799e-01
1508.75000000	4.610139610655e-01
1530.00000000	3.416747807581e-01
1551.25000000	8.226957102893e-01
1572.50000000	6.518526340936e-02
1593.75000000	1.127967462300e-01
1615.00000000	7.108899208518e-04
1636.25000000	2.419152254935e-05
1657.50000000	2.969666484307e-07
1678.75000000	3.716896520182e-08
1700.00000000	8.606817213191e-09
