# omega_cm^-1	T_trunc_dy_le_3_fixed_eta1e-7
0.00000000	0.000000000000e+00
21.25000000	1.600483351360e-03
42.50000000	3.574015076651e-03
63.75000000	1.602617004714e-02
85.00000000	8.061363843764e-02
106.25000000	8.746056952560e-02
127.50000000	9.449203743484e-02
148.75000000	1.052363271420e-01
170.00000000	1.181610029995e-01
191.25000000	2.151364943891e-01
212.50000000	2.953000616806e-01
233.75000000	3.389334832404e-01
255.00000000	3.682613489032e-01
276.25000000	3.878037558337e-01
297.50000000	4.299103011882e-01
318.75000000	4.244360488697e-01
340.00000000	4.135729493677e-01
361.25000000	4.563319351751e-01
382.50000000	5.952910107591e-01
403.75000000	8.931025733683e-01
425.00000000	7.021983747985e-01
446.25000000	8.685601424882e-01
467.50000000	1.234884291866e+00
488.75000000	7.935664453629e-01
510.00000000	6.509227477873e-01
531.25000000	5.391548663046e-01
552.50000000	5.154264600523e-01
573.75000000	6.728924719248e-01
595.00000000	8.517612638145e-01
616.25000000	1.152833305386e+00
637.50000000	1.365175698074e+00
658.75000000	1.270644191759e+00
680.00000000	1.166214378110e+00
701.25000000	9.828751939188e-01
722.50000000	8.807072139876e-01
743.75000000	1.109364518427e+00
765.00000000	1.050887950172e+00
786.25000000	8.959263369869e-01
807.50000000	7.434991089400e-01
828.75000000	8.604089856888e-01
850.00000000	7.138865987899e-01
871.25000000	5.472229575547e-01
892.50000000	5.153169020887e-01
913.75000000	5.600506354652e-01
935.00000000	5.533450678451e-01
956.25000000	4.839090932410e-01
977.50000000	4.646880616282e-01
998.75000000	3.955481111237e-01
1020.00000000	3.615051238049e-01
1041.25000000	3.006062346277e-01
1062.50000000	2.784363288573e-01
1083.75000000	5.233431692420e-01
1105.00000000	7.417642277009e-01
1126.25000000	8.182905083462e-01
1147.50000000	7.619033100794e-01
1168.75000000	5.940896506985e-01
1190.00000000	4.460518715616e-01
1211.25000000	5.106833628037e-01
1232.50000000	6.255968516139e-01
1253.75000000	6.195168881482e-01
1275.00000000	5.340913442994e-01
1296.25000000	4.856947048057e-01
1317.50000000	3.909949081930e-01
1338.75000000	4.285692991135e-01
1360.00000000	1.010888679007e+00
1381.25000000	9.555329102253e-01
1402.50000000	7.971649183688e-01
1423.75000000	6.983602996872e-01
1445.00000000	6.119549528684e-01
1466.25000000	4.111956470534e-01
1487.50000000	3.942482341060e-01
1508.75000000	2.999634318680e-01
1530.00000000	2.104703511533e-01
1551.25000000	2.922123576705e-01
1572.50000000	1.921059021332e-01
1593.75000000	1.098269040999e-01
1615.00000000	1.138150868837e-08
1636.25000000	1.914263948305e-09
1657.50000000	2.691258998825e-11
1678.75000000	4.046421675906e-12
1700.00000000	1.102255423747e-12
