# omega_cm^-1	T_generalized_eigen_svd
0.00000000	0.000000000000e+00
21.25000000	4.723671777269e+09
42.50000000	8.802501952638e+09
63.75000000	2.668410496020e-02
85.00000000	1.469153412514e-01
106.25000000	1.518531018490e-01
127.50000000	1.868991474321e-01
148.75000000	2.147749492863e-01
170.00000000	3.041116492064e-01
191.25000000	4.715709734067e+10
212.50000000	0.000000000000e+00
233.75000000	1.157084036390e+10
255.00000000	0.000000000000e+00
276.25000000	4.381681791341e+11
297.50000000	2.110753276522e+11
318.75000000	0.000000000000e+00
340.00000000	0.000000000000e+00
361.25000000	1.531197096537e+12
382.50000000	0.000000000000e+00
403.75000000	0.000000000000e+00
425.00000000	1.668647389910e-01
446.25000000	0.000000000000e+00
467.50000000	1.109874043940e+00
488.75000000	0.000000000000e+00
510.00000000	0.000000000000e+00
531.25000000	3.890584377163e+11
552.50000000	2.998552278749e+01
573.75000000	0.000000000000e+00
595.00000000	2.162021489575e+00
616.25000000	4.587281432200e+01
637.50000000	1.871165319464e+00
658.75000000	4.530963993164e-01
680.00000000	2.219072029525e+00
701.25000000	1.158144731756e+00
722.50000000	8.180264915309e-01
743.75000000	5.426626536814e-01
765.00000000	7.455474154656e-01
786.25000000	5.601449649891e-01
807.50000000	5.785554945044e-01
828.75000000	6.875663002711e-01
850.00000000	7.651578980207e-01
871.25000000	8.476968264393e-01
892.50000000	8.456739074860e-01
913.75000000	7.986487495317e-01
935.00000000	8.375012514867e-01
956.25000000	7.641104961560e-01
977.50000000	7.176559966795e-01
998.75000000	5.825359777006e-01
1020.00000000	5.465842795073e-01
1041.25000000	4.613853786804e-01
1062.50000000	3.274116000472e-01
1083.75000000	2.871649996104e-01
1105.00000000	4.548288287323e-01
1126.25000000	6.335672121350e-01
1147.50000000	8.090515072164e-01
1168.75000000	9.306620992300e-01
1190.00000000	9.634771785849e-01
1211.25000000	2.353377173011e-01
1232.50000000	0.000000000000e+00
1253.75000000	0.000000000000e+00
1275.00000000	5.895008365937e-01
1296.25000000	5.405629913590e-01
1317.50000000	2.968887766418e-01
1338.75000000	4.681803679946e-01
1360.00000000	4.064262775073e-01
1381.25000000	1.455841938978e+01
1402.50000000	0.000000000000e+00
1423.75000000	3.297206026568e+00
1445.00000000	1.501476591151e+00
1466.25000000	0.000000000000e+00
1487.50000000	9.913049326139e+12
1508.75000000	0.000000000000e+00
1530.00000000	7.255809703126e+12
1551.25000000	1.774702458010e+12
1572.50000000	0.000000000000e+00
1593.75000000	2.854462585870e-01
1615.00000000	2.854581595039e-04
1636.25000000	3.112780483232e-06
1657.50000000	4.559922243448e-08
1678.75000000	4.934535004488e-09
1700.00000000	9.776991396929e-10
