# cm1	omega	Tavg	eta_mean	(eta/omega)_mean	(eta/omega)_max	n_success	n1e-8	n1e-7	n1e-6	n1e-5	n1e-4
956.25000000	8.713991171178e-03	8.407607548867e-01	1.490099009901e-07	1.710007481795e-05	1.147579771836e-03	101	95	1	4	1	0
977.50000000	8.907635419427e-03	7.414191390354e-01	1.187128712871e-07	1.332709138816e-05	1.122632385492e-03	101	99	0	1	1	0
998.75000000	9.101279667675e-03	5.829537375846e-01	1.000000000000e-08	1.098746590056e-06	1.098746590056e-06	101	101	0	0	0	0
1020.00000000	9.294923915923e-03	5.470455841323e-01	1.000000000000e-08	1.075856036096e-06	1.075856036096e-06	101	101	0	0	0	0
1041.25000000	9.488568164172e-03	4.604976310736e-01	1.000000000000e-08	1.053899790461e-06	1.053899790461e-06	101	101	0	0	0	0
1062.50000000	9.682212412420e-03	3.271295290853e-01	2.960396039604e-08	3.057561550505e-06	1.032821794652e-04	101	99	0	2	0	0
1083.75000000	9.875856660669e-03	2.867287997346e-01	1.000000000000e-08	1.012570386914e-06	1.012570386914e-06	101	101	0	0	0	0
1105.00000000	1.006950090892e-02	4.556962921027e-01	1.000000000000e-08	9.930978794733e-07	9.930978794733e-07	101	101	0	0	0	0
1126.25000000	1.026314515717e-02	7.038877134056e-01	6.034653465347e-07	5.879926058664e-05	9.743601836342e-04	101	95	0	0	6	0
1147.50000000	1.045678940541e-02	9.000171536606e-01	1.692376237624e-06	1.618447280527e-04	9.563164765299e-03	101	93	0	0	7	1
1168.75000000	1.065043365366e-02	9.811773020704e-01	1.000000000000e-08	9.389289042293e-07	9.389289042293e-07	101	101	0	0	0	0
1190.00000000	1.084407790191e-02	8.969248500197e-01	1.000000000000e-08	9.221623166538e-07	9.221623166538e-07	101	101	0	0	0	0
1211.25000000	1.103772215016e-02	6.921880705281e-01	1.692376237624e-06	1.533265844710e-04	9.059840303967e-03	101	93	0	0	7	1
1232.50000000	1.123136639841e-02	7.236719051807e-01	3.107425742574e-06	2.766738820857e-04	8.903636160795e-03	101	85	0	3	11	2
1253.75000000	1.142501064666e-02	7.571588025105e-01	7.513861386139e-07	6.576677797966e-05	8.752727073324e-04	101	89	0	5	7	0
1275.00000000	1.161865489490e-02	7.390840157667e-01	9.206930693069e-07	7.924265568046e-05	8.606848288769e-04	101	89	1	2	9	0
1296.25000000	1.181229914315e-02	5.418019503067e-01	6.141584158416e-07	5.199313092215e-05	8.465752415182e-04	101	93	1	1	6	0
1317.50000000	1.200594339140e-02	3.037368263603e-01	1.139900990099e-06	9.494472470322e-05	8.329208021389e-03	101	93	2	4	1	1
1338.75000000	1.219958763965e-02	1.412880813587e+00	3.474554455446e-06	2.848091720865e-04	8.196998370256e-03	101	93	0	0	5	3
1360.00000000	1.239323188790e-02	1.201643133182e+00	3.276732673267e-06	2.643969468906e-04	8.068920270721e-03	101	95	0	0	3	3
1381.25000000	1.258687613615e-02	2.709260468292e+00	1.425049504950e-06	1.132170913209e-04	7.944783035786e-03	101	93	0	3	4	1
1402.50000000	1.278052038439e-02	3.050495782628e+00	9.215841584158e-07	7.210850033471e-05	7.824407535244e-04	101	88	2	2	9	0
1423.75000000	1.297416463264e-02	1.948270368143e+00	1.139009900990e-06	8.779061567666e-05	7.707625333226e-04	101	84	2	4	11	0
1445.00000000	1.316780888089e-02	1.593441162719e+00	2.479207920792e-07	1.882779392697e-05	7.594277901855e-04	101	94	1	4	2	0
1466.25000000	1.336145312914e-02	2.197863352093e+00	1.989108910891e-06	1.488692054424e-04	7.484215903277e-03	101	90	0	0	10	1
1487.50000000	1.355509737739e-02	1.734608729864e+00	1.602376237624e-06	1.182120786750e-04	7.377298533230e-04	101	84	0	1	16	0
1508.75000000	1.374874162564e-02	6.385336462668e-01	1.345742574257e-06	9.788114511863e-05	7.273392920086e-04	101	82	1	5	13	0
1530.00000000	1.394238587389e-02	1.527209566103e+00	1.302970297030e-07	9.345389726089e-06	7.172373573974e-04	101	96	2	2	1	0
1551.25000000	1.413603012213e-02	1.012066029616e+00	2.210099009901e-06	1.563450976551e-04	7.074121881180e-03	101	92	3	2	2	2
1572.50000000	1.432967437038e-02	3.592739737160e-01	1.041346534653e-05	7.267063491728e-04	6.978525639542e-03	101	76	0	1	15	9
1593.75000000	1.452331861863e-02	3.567687918773e-01	1.298514851485e-06	8.940896261957e-05	6.885478631015e-03	101	95	2	0	3	1
1615.00000000	1.471696286688e-02	3.621590421414e-04	1.800198019802e-06	1.223212993119e-04	6.794880227975e-04	101	82	0	1	18	0
1636.25000000	1.491060711513e-02	2.918405567247e-06	1.383168316832e-07	9.276405086339e-06	6.706635030209e-04	101	97	0	3	1	0
1657.50000000	1.510425136338e-02	4.307415075590e-08	1.000000000000e-08	6.620652529822e-07	6.620652529822e-07	101	101	0	0	0	0
1678.75000000	1.529789561162e-02	4.609761328037e-09	1.000000000000e-08	6.536846801596e-07	6.536846801596e-07	101	101	0	0	0	0
1700.00000000	1.549153985987e-02	9.015774685078e-10	1.000000000000e-08	6.455136216577e-07	6.455136216577e-07	101	101	0	0	0	0
